01/09/11,12,18,5,9,83,100,59,1021.69,5,13,0,10,"Fog"
02/09/11,14,17,2,12,87,94,72,1022.06,11,26,0,9.3,"None"
03/09/11,13,19,7,11,87,100,68,1021.15,5,17,0,6.9,"Fog"
04/09/11,15,21,9,11,76,100,49,1019.74,8,20,0,6.5,"Fog"
05/09/11,16,19,13,11,72,88,52,1018.34,12,26,48,10,"Rain"
06/09/11,16,18,14,9,62,72,49,1010.1,26,35,59,10,"Rain"
07/09/11,15,18,12,11,80,94,72,999.56,22,33,56,9.3,"Rain"
08/09/11,14,18,9,12,86,94,73,1003.21,10,20,0,9.2,"Fog"
09/09/11,14,19,9,11,84,94,64,1010.2,9,24,0,9.1,"None"
10/09/11,14,19,9,12,83,94,63,1008.26,8,24,0,9.8,"Rain"
11/09/11,14,17,10,11,83,100,63,1006.96,10,32,50,9.7,"Rain"
12/09/11,14,17,10,9,75,94,52,1018.19,14,26,0,10,"Rain"
13/09/11,15,18,12,13,87,94,77,1010.83,22,41,59,9.4,"Rain"
14/09/11,12,15,8,8,75,88,51,1003.41,26,43,63,10,"Rain"
15/09/11,12,16,9,7,71,88,51,1000.32,24,43,61,9.9,"Rain"
16/09/11,11,15,7,6,70,93,51,1007.87,14,20,0,10,"None"
17/09/11,10,14,5,4,68,87,44,1014.5,12,18,0,10,"None"
18/09/11,12,16,8,7,77,93,55,1014.15,14,24,43,10,"None"
19/09/11,12,15,10,11,94,100,88,1006.29,4,17,0,8.6,"Rain"
20/09/11,14,18,10,11,84,94,64,1006.08,14,26,39,9.9,"Rain"
21/09/11,14,20,8,11,87,100,64,1015.02,6,24,0,9.5,"Fog"
22/09/11,15,18,12,12,85,100,73,1009.69,8,26,0,10,"Rain"
23/09/11,12,14,11,11,91,100,77,1005.08,7,22,0,8.7,"Rain"
24/09/11,10,12,7,4,68,82,54,1014.28,14,26,0,10,"Rain"
25/09/11,7,13,1,2,73,93,54,1019.93,9,15,0,10,"None"
26/09/11,7,13,1,3,81,100,62,1019.25,6,17,0,10,"None"
27/09/11,8,12,4,9,95,100,93,1017.46,7,17,0,8.9,"None"
28/09/11,14,16,11,11,88,100,72,1015.15,9,17,0,9.8,"Rain"
29/09/11,11,15,7,11,93,100,82,1010.53,9,18,0,8,"Rain"
30/09/11,8,13,4,8,93,100,82,1010.04,7,17,0,8.9,"Fog"
01/10/11,12,15,6,9,87,94,82,995.74,12,30,0,9.9,"Rain"
02/10/11,10,15,5,7,77,93,63,998.13,11,26,0,10,"None"
03/10/11,12,15,8,9,82,94,72,991.51,10,17,0,10,"Rain"
04/10/11,10,16,5,8,78,100,59,992.64,15,33,57,10,"Fog"
05/10/11,12,16,9,7,70,88,51,991.06,21,37,46,10,"Rain"
06/10/11,12,14,9,8,80,94,59,998.04,14,32,52,10,"Rain"
07/10/11,12,18,6,8,77,100,52,1014.37,11,26,0,10,"None"
08/10/11,11,14,8,11,94,100,87,1019.5,15,26,0,7.1,"None"
09/10/11,12,13,11,10,86,100,72,1022.17,20,28,0,7.8,"None"
10/10/11,12,12,11,10,86,88,82,1021.08,21,32,44,8.1,"None"
11/10/11,8,12,4,7,83,100,72,1024.36,11,18,0,10,"None"
12/10/11,8,10,5,6,87,100,76,1023.71,6,13,0,9.6,"None"
13/10/11,8,9,6,7,89,100,82,1023.26,7,13,0,6.7,"None"
14/10/11,11,14,8,7,82,100,59,1023.04,6,13,0,8.9,"None"
15/10/11,10,12,7,7,82,93,71,1019,10,17,0,10,"None"
16/10/11,8,12,3,5,82,93,67,1024.3,4,9,0,10,"None"
17/10/11,8,12,5,7,85,94,67,1020.52,15,35,0,10,"None"
18/10/11,8,12,5,7,84,93,71,1010.49,19,32,44,9.8,"Rain"
19/10/11,6,9,2,2,80,100,57,1010.98,9,18,0,10,"None"
20/10/11,3,8,2,-1,74,87,50,1018.37,10,22,0,10,"Rain"
21/10/11,7,12,2,5,85,100,71,1013.43,16,32,52,10,"Rain"
22/10/11,10,12,7,8,91,100,72,1006.77,12,33,0,9,"Rain"
23/10/11,5,9,1,3,82,100,62,1004.4,14,20,0,9.9,"Rain"
24/10/11,4,8,-1,0,78,100,57,1018.52,6,15,0,10,"None"
25/10/11,4,10,-2,1,79,93,58,1024.67,10,24,43,10,"None"
26/10/11,12,15,8,10,86,94,76,1009.08,19,35,46,9.9,"Rain"
27/10/11,12,15,8,8,80,100,67,1003.12,30,46,61,9.9,"Rain"
28/10/11,11,14,8,7,81,88,67,1002.25,21,35,59,10,"None"
29/10/11,12,16,8,10,81,94,72,985.02,25,44,65,9.9,"Rain"
30/10/11,9,12,6,6,81,93,62,988.9,18,30,0,9.9,"Rain"
31/10/11,6,11,2,5,89,100,71,1002.96,6,11,0,10,"Fog"
01/11/10,6,12,0,6,89,100,67,1006.77,9,37,56,8.8,"Fog"
02/11/10,10,12,7,7,83,87,72,993.94,27,41,61,9.9,"Rain"
03/11/10,8,10,7,5,81,93,71,1001.57,21,30,0,10,"Rain"
04/11/10,10,14,7,9,93,100,82,1004.46,10,32,0,9.4,"Rain"
05/11/10,8,11,4,7,91,100,82,1011.44,17,30,0,9.9,"Rain"
06/11/10,4,7,0,3,93,100,76,1015.19,6,13,0,8.8,"Fog"
07/11/10,4,6,1,1,78,100,61,1003.44,10,32,50,10,"None"
08/11/10,6,8,4,3,80,87,70,974.3,26,46,68,9.9,"Rain"
09/11/10,5,8,2,2,77,93,61,991.38,24,37,54,9.8,"Rain"
10/11/10,3,7,-1,-1,77,93,57,997.31,9,18,0,10,"None"
11/11/10,8,10,5,5,81,87,76,968.77,27,46,65,9.6,"Rain"
12/11/10,8,10,5,5,81,93,76,976.52,26,46,68,10,"Rain"
13/11/10,5,9,1,3,83,93,66,985.23,19,32,41,10,"Rain"
14/11/10,4,6,0,2,91,100,81,993.83,5,13,0,9.5,"Rain"
15/11/10,2,7,-3,0,88,100,76,1010.11,6,22,0,10,"Fog"
16/11/10,3,8,-2,1,90,100,76,1014.9,6,17,0,10,"Fog"
17/11/10,6,8,4,2,74,87,66,1004.81,22,39,57,10,"None"
18/11/10,7,8,6,3,78,87,66,1001.84,23,37,0,10,"Rain"
19/11/10,5,9,1,4,92,100,82,1010.1,5,13,0,9.2,"Fog"
20/11/10,5,7,3,4,93,100,81,1018.17,8,22,0,9.1,"Fog"
21/11/10,4,6,2,2,85,93,76,1018.27,9,20,0,10,"Rain"
22/11/10,6,7,4,4,93,100,87,1016.58,7,15,0,9,"Rain"
23/11/10,4,7,0,1,85,100,70,1014.65,7,13,0,10,"None"
24/11/10,2,4,0,-2,78,93,70,1012.74,8,18,0,10,"None"
25/11/10,0,3,-2,-3,75,86,65,1012.75,13,18,0,10,"Snow"
26/11/10,1,4,-2,-3,78,100,60,1007.89,7,33,0,9.8,"Snow"
27/11/10,-2,2,-7,-5,79,93,65,1009.96,14,33,0,9.8,"Snow"
28/11/10,-2,1,-4,-2,96,100,74,1009.11,8,32,0,6.6,"Snow"
29/11/10,0,2,-1,-1,92,100,80,1018.37,13,32,0,7.1,"Snow"
30/11/10,0,2,-2,-2,90,100,80,1023.81,17,37,0,7.6,"Snow"
